State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,10766,0,10637,129,0.0,98.8,1.2,420979
Andhra Pradesh,2340676,0,2325943,14733,0.0,99.37,0.63,53903393
Arunachal Pradesh,67049,0,66753,296,0.0,99.56,0.44,1570458
Assam,746159,5,738119,8035,0.0,98.92,1.08,35607039
Bihar,855267,1,842952,12314,0.0,98.56,1.44,124799926
Chandigarh,100693,0,99508,1185,0.0,98.82,1.18,	1179613
Chhattisgarh,1187695,0,1173505,14190,0.0,98.81,1.19,29436231
Dadra and Nagar Haveli and Daman and Diu,11592,0,11588,4,0.0,99.97,0.03,615724
Delhi,2040910,14,2014230,26666,0.0,98.69,1.31,21763536
Goa,263346,3,259329,4014,0.0,98.47,1.52,1542753
Gujarat,1291383,5,1280299,11079,0.0,99.14,0.86,63907200
Haryana,1078903,27,1068121,10755,0.0,99.0,1.0,29685534
Himachal Pradesh,322905,4,318660,4241,0.0,98.69,1.31,7309714
Jammu and Kashmir,482023,0,477231,4792,0.0,99.01,0.99,13606320
Jharkhand,443826,1,438491,5334,0.0,98.8,1.2,38593948
Karnataka,4088769,12,4048399,40358,0.0,99.01,0.99,71876320
Kerala,6907241,18,6835181,72042,0.0,98.96,1.04,35699443
Ladakh,29602,0,29371,231,0.0,99.22,0.78,294788
Lakshadweep,11415,0,11363,52,0.0,99.54,0.46,73183
Madhya Pradesh,1056351,0,1045565,10786,0.0,98.98,1.02,85358965
Maharashtra,8171048,214,8022276,148558,0.0,98.18,1.82,124785547
Manipur,140034,0,137885,2149,0.0,98.47,1.53,3091545
Meghalaya,96983,3,95352,1628,0.0,98.32,1.68,3366710
Mizoram,239560,1,238825,734,0.0,99.69,0.31,1239244
Nagaland,36033,0,35251,782,0.0,97.83,2.17,2249695
Odisha,1348409,59,1339135,9215,0.0,99.31,0.68,46356334
Puducherry,177547,0,175566,1981,0.0,98.88,1.12,1506293
Punjab,793644,1233,773073,19338,0.16,97.41,2.44,30141373
Rajasthan,1326465,2,1316727,9736,0.0,99.27,0.73,81032689
Sikkim,44927,4,44422,501,0.01,98.88,1.12,	690251
Tamil Nadu,3610655,5,3572569,38081,0.0,98.95,1.05,77841267
Telengana,844432,8,840313,4111,0.0,99.51,0.49,39836267
Tripura,108493,1,107550,942,0.0,99.13,0.87,4169794
Uttar Pradesh,2145431,57,2121662,23712,0.0,98.89,1.11,237882725
Uttarakhand,452571,0,444803,7768,0.0,98.28,1.72,1152449
West Bengal,2126282,135,2104592,21555,0.01,98.98,1.01,102741762
